,Date,variable,value
71,2016-12-13,HC,-73.28555926531658
72,2016-12-14,HC,-61.4129020900707
73,2016-12-15,HC,84.83464200685137
74,2016-12-16,HC,802.7302275767578
75,2016-12-17,HC,812.1184960947626
76,2016-12-18,HC,796.5265707845662
77,2016-12-19,HC,790.5312198371261
78,2016-12-20,HC,785.7480243029064
79,2016-12-21,HC,789.5576177864132
80,2016-12-22,HC,792.0206013188837
81,2016-12-23,HC,787.4308720048213
82,2016-12-24,HC,795.0809290735513
83,2016-12-25,HC,792.8380684826475
84,2016-12-26,HC,791.6315125280285
85,2016-12-27,HC,788.5632938426099
86,2016-12-28,HC,791.7645396349875
87,2016-12-29,HC,795.1155888596422
88,2016-12-30,HC,787.8329900204916
89,2016-12-31,HC,783.6942075813638
90,2017-01-01,HC,768.618990911925
91,2017-01-02,HC,760.11071470076
92,2017-01-03,HC,768.9888127470591
93,2017-01-04,HC,782.7494200759837
94,2017-01-05,HC,789.8980014230062
95,2017-01-06,HC,789.6027726657472
96,2017-01-07,HC,788.2118751267376
97,2017-01-08,HC,779.6046817766409
98,2017-01-09,HC,781.4418958459175
99,2017-01-10,HC,791.3876416354072
100,2017-01-11,HC,796.9576165446987
101,2017-01-12,HC,759.6010858053577
102,2017-01-13,HC,805.0233870431152
103,2017-01-14,HC,808.4043478266387
104,2017-01-15,HC,808.6916817305852
105,2017-01-16,HC,811.7211527535255
106,2017-01-17,HC,813.9860956268087
107,2017-01-18,HC,814.5360079824366
108,2017-01-19,HC,810.081421364033
109,2017-01-20,HC,810.6958730578882
110,2017-01-21,HC,814.1751676043158
111,2017-01-22,HC,815.9185797544397
112,2017-01-23,HC,815.8880863707849
113,2017-01-24,HC,819.4190688117632
114,2017-01-25,HC,814.8076155839659
115,2017-01-26,HC,821.0125664491258
116,2017-01-27,HC,823.5082986381818
117,2017-01-28,HC,816.4403544069434
118,2017-01-29,HC,820.2381071565618
119,2017-01-30,HC,813.2246716889144
120,2017-01-31,HC,815.3064445769044
121,2017-02-01,HC,814.0307261038622
122,2017-02-02,HC,802.6203311178751
123,2017-02-03,HC,799.2639752594532
124,2017-02-04,HC,809.9784731228335
125,2017-02-05,HC,807.8728686143406
126,2016-12-05,NO2,615.8872688792244
127,2016-12-06,NO2,552.8944548519985
128,2016-12-07,NO2,529.6730929145239
129,2016-12-08,NO2,548.3550391507254
130,2016-12-09,NO2,556.858425807943
131,2016-12-10,NO2,604.5718596745709
132,2016-12-11,NO2,586.3749557005201
133,2016-12-12,NO2,369.2539454710365
134,2016-12-13,NO2,-255.9294803909449
135,2016-12-14,NO2,-209.29522930127087
136,2016-12-15,NO2,-118.82878489844552
137,2016-12-16,NO2,577.7882472302131
138,2016-12-17,NO2,603.5974530701627
139,2016-12-18,NO2,586.3384653174031
140,2016-12-19,NO2,558.9248584392993
141,2016-12-20,NO2,557.011247207636
142,2016-12-21,NO2,577.2208749894752
143,2016-12-22,NO2,596.6453966835624
144,2016-12-23,NO2,582.8322716545235
145,2016-12-24,NO2,586.7090872596746
146,2016-12-25,NO2,576.7266134295405
147,2016-12-26,NO2,576.9277114545743
148,2016-12-27,NO2,559.0591694367656
149,2016-12-28,NO2,566.4603154430743
150,2016-12-29,NO2,574.757143707959
151,2016-12-30,NO2,571.6327308164026
152,2016-12-31,NO2,568.4889880679804
153,2017-01-01,NO2,556.0598149258838
154,2017-01-02,NO2,549.3772469209252
155,2017-01-03,NO2,558.5249926284703
156,2017-01-04,NO2,564.73004329572
157,2017-01-05,NO2,573.1634755754311
158,2017-01-06,NO2,575.6865677816191
159,2017-01-07,NO2,575.9880395268273
160,2017-01-08,NO2,569.1282280665575
161,2017-01-09,NO2,571.0667829510373
162,2017-01-10,NO2,578.3553500377855
163,2017-01-11,NO2,584.9364979575446
164,2017-01-12,NO2,551.5063519049345
165,2017-01-13,NO2,592.1852887511789
166,2017-01-14,NO2,595.9760983713712
167,2017-01-15,NO2,595.3204447834323
168,2017-01-16,NO2,600.390940403311
169,2017-01-17,NO2,603.6813947310695
170,2017-01-18,NO2,605.0958027612414
171,2017-01-19,NO2,599.5741042441961
172,2017-01-20,NO2,598.0741471124177
173,2017-01-21,NO2,602.5257115402397
174,2017-01-22,NO2,603.6309597604086
175,2017-01-23,NO2,604.9674401802118
176,2017-01-24,NO2,610.3803639523508
177,2017-01-25,NO2,605.0249486210249
178,2017-01-26,NO2,608.0443143243807
179,2017-01-27,NO2,611.3441213541486
180,2017-01-28,NO2,601.8708626748734
181,2017-01-29,NO2,608.47591130814
182,2017-01-30,NO2,601.6838436394871
183,2017-01-31,NO2,605.489800443
184,2017-02-01,NO2,605.6397038895886
185,2017-02-02,NO2,597.7976944975462
186,2017-02-03,NO2,595.2178164009227
187,2017-02-04,NO2,605.83332743975
188,2017-02-05,NO2,602.1780083557369
189,2016-12-05,O3,1008.1464022125674
190,2016-12-06,O3,1007.3958618578895
191,2016-12-07,O3,966.1220670503687
192,2016-12-08,O3,951.6687316857324
193,2016-12-09,O3,895.8030782274988
194,2016-12-10,O3,883.1108096645415
195,2016-12-11,O3,913.3982006484389
196,2016-12-12,O3,682.6252887779581
197,2016-12-13,O3,47.349518464218136
198,2016-12-14,O3,60.68406821900783
199,2016-12-15,O3,210.19325117209826
200,2016-12-16,O3,957.1086636387346
201,2016-12-17,O3,966.4422565615265
202,2016-12-18,O3,938.5929197986889
203,2016-12-19,O3,927.3740248458678
204,2016-12-20,O3,933.0554338997592
205,2016-12-21,O3,941.3034003357645
206,2016-12-22,O3,943.2495387402298
207,2016-12-23,O3,939.7976930916843
208,2016-12-24,O3,953.3370206482988
209,2016-12-25,O3,967.8571364155583
210,2016-12-26,O3,966.1837604930481
211,2016-12-27,O3,965.5765079518715
212,2016-12-28,O3,969.0821661673449
213,2016-12-29,O3,959.9715952613855
214,2016-12-30,O3,948.891799548111
215,2016-12-31,O3,940.504525383641
216,2017-01-01,O3,920.2685296418692
217,2017-01-02,O3,910.5601122038881
218,2017-01-03,O3,916.7541403696198
219,2017-01-04,O3,952.3963082803418
220,2017-01-05,O3,956.1813557670554
221,2017-01-06,O3,947.274725618474
222,2017-01-07,O3,938.4575175443781
223,2017-01-08,O3,927.6639571287958
224,2017-01-09,O3,929.4883022610163
225,2017-01-10,O3,946.6867748432392
226,2017-01-11,O3,948.1231255314799
227,2017-01-12,O3,907.9150415495717
228,2017-01-13,O3,957.1906291030112
229,2017-01-14,O3,960.9871747236168
230,2017-01-15,O3,965.3599822657764
231,2017-01-16,O3,959.1470016538125
232,2017-01-17,O3,960.3482889003476
233,2017-01-18,O3,959.0057757035887
234,2017-01-19,O3,957.8463784395827
235,2017-01-20,O3,967.3951749441535
236,2017-01-21,O3,967.2772900355892
237,2017-01-22,O3,971.4132693498872
238,2017-01-23,O3,967.5813111825119
239,2017-01-24,O3,963.83746164523
240,2017-01-25,O3,963.1530259902687
241,2017-01-26,O3,981.7577206395991
242,2017-01-27,O3,981.4621343237679
243,2017-01-28,O3,983.9152640332849
244,2017-01-29,O3,979.8336658145923
245,2017-01-30,O3,975.3825135254227
246,2017-01-31,O3,968.9396693560748
247,2017-02-01,O3,964.5116561737326
248,2017-02-02,O3,944.5049230938571
249,2017-02-03,O3,939.9470802570374
250,2017-02-04,O3,949.0049055098214
251,2017-02-05,O3,953.4757706995148
