,Product Code,Quality,Process T (C),Ambient T (C),T Difference Squared (C^2),Tool Lifespan (min),Tool Lifespan/Temp Increase^2 (min/C^2),Rotation Speed (rpm),Torque (Nm),Horsepower (HP),Machine Status
22,S,L,35.95,27.05,79.21000000000004,29.0,0.0,1404.0,54.8,14.649504950495048,0.0
23,K,M,36.05,27.05,80.99999999999994,26.0,0.0,1533.0,38.0,11.091774562071592,0.0
24,Z,L,36.15,27.15,81.0,24.0,0.0,1430.0,43.4,11.816831683168317,0.0
25,Z,L,36.05,27.15,79.20999999999998,22.0,0.0,1479.0,47.0,13.235529322162986,0.0
26,K,M,36.15,27.05,82.80999999999996,19.0,0.0,1454.0,44.4,12.292003046458492,0.0
27,K,L,36.05,27.05,80.99999999999994,14.0,0.0,1560.0,35.4,10.514851485148515,0.0
28,T,M,36.05,26.95,82.80999999999996,11.0,0.0,1463.0,45.7,12.730217060167556,0.0
29,T,L,36.05,26.95,82.80999999999996,9.0,0.0,1465.0,40.6,11.325019040365575,0.0
30,Z,L,36.05,26.95,82.80999999999996,7.0,0.0,1489.0,40.3,11.42549504950495,0.0
31,S,M,36.15,26.95,84.63999999999999,4.0,0.0,1635.0,32.4,10.086443259710586,0.0
32,Z,L,35.95,26.95,81.00000000000007,2.0,0.0,1454.0,51.7,14.312985529322164,0.0
33,T,M,36.15,27.05,82.80999999999996,218.0,3.0,1732.0,33.7,11.113556740289415,0.0
34,S,M,36.05,27.15,79.20999999999998,40.0,1.0,1406.0,42.2,11.297258187357198,0.0
35,K,M,36.55,27.25,86.48999999999995,172.0,2.0,1488.0,41.3,11.7011424219345,0.0
36,T,M,36.65,27.35,86.48999999999995,167.0,2.0,1685.0,32.3,10.362814166031987,0.0
37,K,L,36.75,27.35,88.35999999999997,117.0,1.0,1513.0,32.9,9.477856054836252,0.0
38,K,H,36.65,27.35,86.48999999999995,112.0,1.0,1500.0,35.2,10.053313023610055,0.0
39,T,H,36.75,27.35,88.35999999999997,107.0,1.0,1448.0,39.7,10.945468392993147,0.0
40,S,M,36.65,27.35,86.48999999999995,104.0,1.0,1440.0,42.8,11.734958111195734,0.0
41,S,M,36.85,27.45,88.36000000000004,101.0,1.0,1752.1626056263133,26.5,8.840881387870773,0.0
42,Z,M,36.95,27.45,90.25000000000007,98.0,1.0,1415.0,43.5,11.719821020563595,0.0
43,T,M,36.95,27.55,88.36000000000004,95.0,1.0,1478.0,36.3,10.215422696115764,0.0
44,T,H,36.95,27.55,88.36000000000004,90.0,1.0,1419.0,42.4,11.455750190403656,0.0
45,S,L,36.95,27.55,88.36000000000004,88.0,1.0,1658.0,34.7,10.954417364813406,0.0
46,S,L,36.95,27.45,90.25000000000007,86.0,1.0,1521.0,45.1,13.061138613861388,0.0
47,S,H,36.85,27.35,90.25,76.0,1.0,1513.0,38.7,11.148724295506474,0.0
48,T,L,36.85,27.35,90.25,74.0,1.0,1376.0,43.5,11.396801218583397,0.0
49,K,L,36.85,27.35,90.25,72.0,1.0,1567.0,36.5,10.890232292460015,0.0
50,Z,L,36.85,27.35,90.25,70.0,1.0,1435.0,54.8,14.972962680883473,0.0
51,S,L,36.75,27.35,88.35999999999997,68.0,1.0,1342.0,52.5,13.414889565879665,0.0
52,K,L,36.75,27.45,86.49000000000001,119.0,1.0,1428.0,43.8,11.909063214013708,0.0
53,Z,L,36.55,27.35,84.63999999999992,170.0,2.0,1386.0,56.9,15.015879664889566,0.0
54,K,L,36.75,27.45,86.49000000000001,121.0,1.0,1473.0,42.3,11.863651942117288,0.0
55,Z,L,36.65,27.35,86.48999999999995,127.0,1.0,1534.0,42.5,12.413366336633663,0.0
56,Z,M,36.55,27.35,84.63999999999992,164.0,2.0,1675.0,35.5,11.321877380045697,0.0
57,K,M,36.55,27.35,84.63999999999992,161.0,2.0,1614.0,30.3,9.311538461538463,0.0
58,T,L,36.65,27.35,86.48999999999995,159.0,2.0,1384.0,45.1,11.884691546077685,0.0
59,T,M,36.65,27.35,86.48999999999995,156.0,2.0,1539.0,37.7,11.047277227722773,0.0
60,Z,L,36.55,27.35,84.63999999999992,154.0,2.0,1620.4236041845973,34.5,10.644442944472317,0.0
61,S,L,36.65,27.35,86.48999999999995,152.0,2.0,1685.0,31.3,10.041984006092918,0.0
62,Z,L,36.75,27.35,88.35999999999997,150.0,2.0,1549.0,38.9,11.472981721249047,0.0
63,S,L,36.85,27.45,88.36000000000004,148.0,2.0,1480.0,40.0,11.271896420411272,0.0
64,S,L,36.75,27.35,88.35999999999997,146.0,2.0,1314.0,63.1,15.787014470677839,0.0
65,K,M,36.65,27.35,86.48999999999995,143.0,2.0,1367.0,51.2,13.326428027418128,0.0
66,T,H,36.75,27.35,88.35999999999997,138.0,2.0,1409.0,47.5,12.743240670220867,0.0
67,Z,L,36.65,27.35,86.48999999999995,136.0,2.0,1679.0,30.1,9.622600913937548,0.0
68,S,M,36.65,27.35,86.48999999999995,133.0,2.0,1488.0,42.2,11.956130997715157,0.0
69,S,L,36.65,27.35,86.48999999999995,131.0,2.0,1467.0,36.9,10.306987814166032,0.0
70,K,L,36.75,27.45,86.49000000000001,129.0,1.0,1367.0,54.0,14.055217060167555,0.0
71,Z,M,36.85,27.45,88.36000000000004,124.0,1.0,1483.0,49.3,13.920773038842345,0.0
72,S,L,37.12028623587919,27.25,97.42255037818623,43.0,0.0,1587.0,31.4,9.488156892612338,0.0
73,K,M,36.15,27.25,79.20999999999998,45.0,1.0,1413.7010005504912,47.6,12.812674719383738,0.0
74,K,L,36.15,27.25,79.20999999999998,48.0,1.0,1462.0,51.4,14.308225437928408,0.0
75,T,L,36.95,28.25,75.69000000000005,197.0,3.0,1550.0,41.5,12.247715156130997,0.0
76,K,L,37.05,28.25,77.43999999999996,193.0,2.0,1355.0,53.6,13.82863670982483,0.0
77,Z,H,37.05,28.25,77.43999999999996,188.0,2.0,1455.0,44.1,12.217345773038842,0.0
78,K,L,36.95,28.25,75.69000000000005,186.0,2.0,1344.0,54.8,14.023457730388422,0.0
79,Z,L,37.05,28.25,77.43999999999996,184.0,2.0,1558.0,36.3,10.768354912414317,0.0
80,T,H,37.05,28.25,77.43999999999996,179.0,2.0,1469.0,39.7,11.10420792079208,0.0
81,T,M,36.95,28.25,75.69000000000005,176.0,2.0,2068.0,17.8,7.008834729626809,0.0
82,S,M,36.95,28.15,77.44000000000007,173.0,2.0,1625.0,31.6,9.777227722772277,0.0
83,S,L,36.85,28.15,75.69000000000005,171.0,2.0,1643.0,32.9,10.292212490479816,0.0
84,S,L,36.85,28.15,75.69000000000005,169.0,2.0,1984.0,19.7,7.441888804265041,0.0
85,T,L,36.75,28.05,75.68999999999998,167.0,2.0,1519.0,39.6,11.453236862147753,0.0
86,S,L,36.65,27.95,75.68999999999998,165.0,2.0,1491.0,42.9,12.178960396039605,0.0
87,Z,M,36.65,27.95,75.68999999999998,162.0,2.0,1288.0,58.4,14.322010662604722,0.0
88,S,L,36.55,28.05,72.24999999999994,160.0,2.0,1502.0,48.9,13.984729626808836,0.0
89,T,L,36.65,28.05,73.95999999999997,158.0,2.0,1668.0,30.8,9.781873571972582,0.0
90,T,M,37.05,28.25,77.43999999999996,199.0,3.0,1525.0,37.8,10.975818735719724,0.0
91,Z,L,36.55,28.05,72.24999999999994,156.0,2.0,1501.0,36.1,10.317231530845392,0.0
92,T,M,36.95,28.25,75.69000000000005,202.0,3.0,1696.0,32.4,10.462757044935262,0.0
93,Z,L,36.95,28.35,73.96000000000002,207.0,3.0,1689.0,32.1,10.323095963442498,0.0
94,S,L,36.95,28.15,77.44000000000007,32.0,0.0,1618.0,37.6,11.583549124143184,0.0
95,Z,L,36.85,28.15,75.69000000000005,30.0,0.0,1687.0,29.7,9.539965727341965,0.0
96,S,H,36.85,28.15,75.69000000000005,25.0,0.0,1362.0,50.7,13.1480198019802,0.0
97,Z,L,36.85,28.15,75.69000000000005,23.0,0.0,1449.0,45.5,12.553217821782178,0.0
98,S,L,36.85,28.15,75.69000000000005,21.0,0.0,1515.0,40.9,11.798076923076923,0.0
99,K,M,36.95,28.15,77.44000000000007,18.0,0.0,1445.0,45.6,12.546077684691546,0.0
100,Z,M,36.85,28.15,75.69000000000005,15.0,0.0,1456.0,50.8,14.083168316831683,0.0
101,S,L,36.85,28.15,75.69000000000005,13.0,0.0,1382.0,52.4,13.788423457730389,0.0
102,T,L,36.95,28.25,75.69000000000005,11.0,0.0,1506.0,40.8,11.699314546839299,0.0
103,Z,L,37.05,28.25,77.43999999999996,9.0,0.0,1531.0,41.6,12.126732673267327,0.0
104,T,L,36.95,28.25,75.69000000000005,7.0,0.0,1438.0,40.9,11.198438690022847,0.0
105,Z,H,36.95,28.25,75.69000000000005,2.0,0.0,1532.0,36.3,10.588651942117288,0.0
106,Z,M,36.85,28.25,73.96000000000002,213.0,3.0,1565.0,36.0,10.727341964965728,0.0
107,T,M,36.95,28.25,75.69000000000005,210.0,3.0,1677.373415299365,30.8,9.836843334200388,0.0
108,S,L,37.05,28.35,75.68999999999993,205.0,3.0,1822.846216966985,21.8,7.566269522064027,0.0
109,Z,H,36.75,28.15,73.96000000000002,151.0,2.0,1709.0,27.0,8.785795887281036,0.0
110,Z,L,36.75,28.05,75.68999999999998,149.0,2.0,1493.0,38.9,11.058206397562833,0.0
111,S,M,36.65,27.95,75.68999999999998,146.0,2.0,1511.0,39.3,11.30660700685453,0.0
112,K,L,36.25,27.45,77.44000000000001,89.0,1.0,1465.0,46.0,12.831302361005331,0.0
113,K,L,36.35,27.55,77.44000000000001,87.0,1.0,1474.0,40.7,11.422658035034273,0.0
114,S,M,36.45,27.55,79.21000000000004,84.0,1.0,1557.0,33.8,10.02029702970297,0.0
115,Z,H,37.324021012022754,27.55,95.5314867434623,79.0,1.0,1495.0,36.5,10.389851485148515,0.0
116,K,M,36.65,27.65,81.0,76.0,1.0,1435.0,44.7,12.21334729626809,0.0
117,K,L,36.55,27.55,80.99999999999994,74.0,1.0,1423.0,49.1,13.30337014470678,0.0
118,S,M,36.55,27.65,79.20999999999998,71.0,1.0,1525.0,36.5,10.598343488194974,0.0
119,T,M,36.55,27.55,80.99999999999994,68.0,1.0,1503.0,38.4,10.989185072353388,0.0
120,T,L,36.55,27.55,80.99999999999994,66.0,1.0,1426.0,53.6,14.553236862147754,0.0
121,T,L,36.45,27.55,79.21000000000004,64.0,1.0,2025.0,21.4,8.251142421934501,0.0
122,S,L,36.45,27.45,81.00000000000007,62.0,1.0,1653.0,27.6,8.686747905559788,0.0
123,T,M,36.35,27.45,79.21000000000004,59.0,1.0,2179.0,16.3,6.762699923838539,0.0
124,K,H,36.25,27.35,79.20999999999998,54.0,1.0,1396.0,51.2,13.609139375476008,0.0
125,Z,L,36.15,27.35,77.43999999999996,52.0,1.0,1752.0,29.0,9.674028941355674,0.0
126,S,L,36.15,27.25,79.20999999999998,50.0,1.0,1649.0,32.4,10.172810357958873,0.0
127,Z,M,36.25,27.45,77.44000000000001,91.0,1.0,1589.0,34.9,10.559044173648134,0.0
128,S,L,36.25,27.45,77.44000000000001,94.0,1.0,1475.0,46.8,13.143564356435643,0.0
129,S,L,36.35,27.55,77.44000000000001,96.0,1.0,1442.0,43.2,11.861081492764662,0.0
130,S,L,36.35,27.55,77.44000000000001,98.0,1.0,1556.0,36.0,10.665651180502666,0.0
131,S,M,36.75,27.95,77.44000000000001,143.0,2.0,1594.0,31.1,9.438956587966489,0.0
132,Z,L,36.65,27.95,75.68999999999998,141.0,2.0,1468.0,42.0,11.73952779893374,0.0
133,Z,M,36.55,27.95,73.95999999999997,138.0,2.0,1588.0,32.7,9.88720487433359,0.0
134,K,M,36.55,27.95,73.95999999999997,135.0,2.0,1397.0,48.0,12.767707539984768,0.0
135,S,L,36.55,27.95,73.95999999999997,133.0,2.0,1724.0,28.1,9.223990860624525,0.0
136,K,L,36.55,27.85,75.68999999999993,131.0,2.0,1384.0,42.4,11.173191165270373,0.0
137,T,H,36.45,27.85,73.96000000000002,126.0,2.0,1469.0,43.4,12.139108910891089,0.0
138,Z,L,36.55,27.15,88.35999999999997,66.0,1.0,1359.0,51.5,13.326066260472201,0.0
139,Z,L,36.45,27.85,73.96000000000002,124.0,2.0,1612.0,35.2,10.803960396039605,0.0
140,K,M,36.35,27.85,72.25,119.0,2.0,1724.0,25.6,8.403351104341203,0.0
141,K,M,36.45,27.85,73.96000000000002,116.0,2.0,1758.0,26.8,8.970753998476772,0.0
142,Z,L,37.461066337575026,27.75,94.30480941278283,111.0,1.0,1946.0,20.5,7.595773038842346,0.0
143,T,L,36.35,27.75,73.96000000000002,109.0,1.0,1489.0,38.4,10.886824067022086,0.0
144,S,H,36.35,27.75,73.96000000000002,104.0,1.0,1474.0,40.7,11.422658035034273,0.0
145,S,L,36.25,27.65,73.96000000000002,102.0,1.0,1580.0,38.3,11.52208682406702,0.0
146,K,L,36.25,27.65,73.96000000000002,100.0,1.0,1425.0,45.3,12.291031987814165,0.0
147,S,L,36.45,27.95,72.25000000000006,122.0,2.0,1430.0,48.5,13.205445544554456,0.0
148,Z,H,36.55,27.15,88.35999999999997,61.0,1.0,1442.0,49.2,13.50845392231531,0.0
149,S,L,36.45,27.05,88.36000000000004,59.0,1.0,1557.0,40.6,12.036214775323687,0.0
150,Z,L,36.45,27.05,88.36000000000004,57.0,1.0,1660.0,32.7,10.335491241431837,0.0
151,T,H,36.65,27.55,82.80999999999996,18.0,0.0,1470.0,43.8,12.259329779131757,0.0
152,K,M,36.65,27.55,82.80999999999996,15.0,0.0,1934.0,22.8,8.395887281035797,0.0
153,T,M,36.75,27.55,84.63999999999999,12.0,0.0,1447.0,42.9,11.819554455445545,0.0
154,S,M,36.65,27.45,84.63999999999999,9.0,0.0,1389.0,43.3,11.451580350342725,0.0
155,T,M,36.55,27.35,84.63999999999992,6.0,0.0,1563.0,34.0,10.118431073876618,0.0
156,K,L,36.45,27.35,82.81000000000003,4.0,0.0,1525.0,51.3,14.89575399847677,0.0
157,K,L,36.45,27.45,81.00000000000007,2.0,0.0,1379.0,55.6,14.598705255140901,0.0
158,T,M,36.45,27.35,82.81000000000003,221.0,3.0,1888.0,21.9,7.872658035034272,0.0
159,T,L,36.55,27.45,82.80999999999996,219.0,3.0,1366.0,50.2,13.056587966488957,0.0
160,T,L,36.55,27.45,82.80999999999996,217.0,3.0,1465.0,41.6,11.603960396039604,0.0
161,S,L,36.45,27.35,82.81000000000003,215.0,3.0,1711.0,29.2,9.512795125666413,0.0
162,T,L,36.55,27.45,82.80999999999996,213.0,3.0,1760.0,30.6,10.254379284082255,0.0
163,T,L,36.75,27.45,86.49000000000001,211.0,2.0,1421.0,49.6,13.419954303122621,0.0
164,S,L,36.55,27.35,84.63999999999992,209.0,2.0,1543.0,38.1,11.193507235338918,0.0
165,Z,M,36.65,27.55,82.80999999999996,23.0,0.0,1428.0,42.6,11.582787509520184,0.0
166,Z,M,36.75,27.45,86.49000000000001,204.0,2.0,1566.0,35.9,10.704379284082254,0.0
167,T,L,36.55,27.35,84.63999999999992,26.0,0.0,1319.0,48.1,12.079950495049506,0.0
168,S,L,36.45,27.35,82.81000000000003,30.0,0.0,1349.0,50.4,12.945468392993144,0.0
169,S,H,36.25,27.15,82.81000000000003,63.0,1.0,1506.0,35.6,10.208225437928409,0.0
170,K,L,36.15,27.05,82.80999999999996,61.0,1.0,1421.0,42.5,11.498952779893374,0.0
171,Z,L,37.076505393675006,27.15,98.53550933065902,59.0,1.0,1366.0,49.3,12.822505712109674,0.0
172,T,L,36.15,27.15,81.0,57.0,1.0,1353.5227689230642,51.3,13.220814555550875,0.0
173,T,L,36.15,27.05,82.80999999999996,55.0,1.0,1326.0,55.9,14.113366336633662,0.0
174,Z,L,36.25,27.15,82.81000000000003,53.0,1.0,1532.0,43.2,12.601370906321403,0.0
175,S,L,36.35,27.15,84.64000000000006,51.0,1.0,1558.0,38.3,11.361652703731911,0.0
176,T,M,36.35,27.15,84.64000000000006,48.0,1.0,1501.0,40.0,11.431835491241431,0.0
177,K,L,36.35,27.15,84.64000000000006,46.0,1.0,1526.0,35.3,10.256626047220106,0.0
178,S,L,36.35,27.15,84.64000000000006,44.0,1.0,1981.0,21.4,8.071858339680121,0.0
179,S,L,36.45,27.25,84.64000000000006,42.0,0.0,1551.0,37.9,11.192479055597866,0.0
180,Z,M,36.35,27.15,84.64000000000006,39.0,0.0,1459.0,43.9,12.19537319116527,0.0
181,S,L,36.45,27.35,82.81000000000003,37.0,0.0,1543.0,38.9,11.428541507996952,0.0
182,Z,L,36.45,27.25,84.64000000000006,35.0,0.0,1474.0,38.7,10.861348057882712,0.0
183,S,M,36.45,27.25,84.64000000000006,32.0,0.0,1665.0,31.4,9.954493526275705,0.0
184,S,L,36.65,27.45,84.63999999999999,28.0,0.0,1887.0,24.3,8.730788271134806,0.0
185,Z,L,36.75,27.45,86.49000000000001,202.0,2.0,1305.0,51.7,12.846249047981722,0.0
186,Z,L,36.75,27.45,86.49000000000001,200.0,2.0,1441.0,48.8,13.38933739527799,0.0
187,S,L,36.65,27.45,84.63999999999999,198.0,2.0,1589.0,30.5,9.227817974105102,0.0
188,T,M,36.75,27.45,86.49000000000001,143.0,2.0,1370.0,55.9,14.581683168316832,0.0
189,K,M,36.65,27.45,84.63999999999999,140.0,2.0,1685.0,29.4,9.432406702208683,0.0
190,K,M,36.65,27.45,84.63999999999999,137.0,2.0,1341.0,50.9,12.99636329017517,0.0
191,S,L,36.75,27.55,84.63999999999999,135.0,2.0,1688.0,28.6,9.192079207920793,0.0
192,Z,L,36.75,27.55,84.63999999999999,133.0,2.0,1502.0,42.4,12.125818735719726,0.0
193,Z,M,37.34588194738504,27.55,95.95930312710408,130.0,1.0,1532.0,42.5,12.397182025894898,0.0
194,K,M,36.75,27.55,84.63999999999999,127.0,2.0,1659.0,28.9,9.128922315308454,0.0
195,K,L,36.75,27.55,84.63999999999999,125.0,1.0,1455.0,48.0,13.297791317593298,0.0
196,K,L,36.75,27.65,82.81000000000003,123.0,1.0,1670.2494415501778,31.5,10.017680390104838,0.0
197,S,L,36.65,27.55,82.80999999999996,121.0,1.0,1639.0,30.4,9.486976389946687,0.0
198,Z,L,36.55,27.55,80.99999999999994,119.0,1.0,1290.0,57.4,14.098629093678598,0.0
199,T,L,36.45,27.45,81.00000000000007,117.0,1.0,1795.0,27.7,9.467155369383093,0.0
200,T,H,36.35,27.35,81.0,112.0,1.0,1530.0,40.4,11.76923076923077,0.0
201,Z,L,36.45,27.35,82.81000000000003,110.0,1.0,1447.0,39.3,10.827703731911653,0.0
202,S,L,36.45,27.45,81.00000000000007,108.0,1.0,1542.0,38.5,11.303693830921553,0.0
203,S,L,36.75,27.45,86.49000000000001,146.0,2.0,1461.0,52.5,14.60443640517898,0.0
204,Z,L,36.75,27.45,86.49000000000001,148.0,2.0,1550.0,37.4,11.037699923838538,0.0
205,S,M,36.75,27.45,86.49000000000001,150.0,2.0,1508.0,37.8,10.853465346534652,0.0
206,K,L,36.75,27.45,86.49000000000001,153.0,2.0,1345.0,62.7,16.057025894897183,0.0
207,Z,L,36.65,27.45,84.63999999999999,196.0,2.0,1580.0,42.8,12.875856816450876,0.0
208,T,L,36.55,27.45,82.80999999999996,194.0,2.0,1390.0,48.4,12.80959634424981,0.0
209,S,L,36.55,27.35,84.63999999999992,192.0,2.0,1432.0,44.7,12.187814166031988,0.0
210,Z,M,36.45,27.15,86.49000000000008,189.0,2.0,1344.5728850500202,51.5,13.184597025909374,0.0
211,Z,L,36.55,27.25,86.48999999999995,187.0,2.0,1537.0,37.1,10.857330540746384,0.0
212,T,M,36.65,27.35,86.48999999999995,184.0,2.0,1466.0,39.8,11.109444021325208,0.0
213,S,M,36.65,27.35,86.48999999999995,181.0,2.0,1562.823229784332,38.0,11.307555737205753,0.0
214,K,H,36.25,27.15,82.81000000000003,68.0,1.0,1342.0,48.7,12.443907083015993,0.0
215,T,L,36.65,27.35,86.48999999999995,179.0,2.0,1314.0,50.2,12.55955826351866,0.0
216,S,L,36.85,27.45,88.36000000000004,175.0,2.0,1503.0,37.4,10.703008377760852,0.0
217,Z,M,36.85,27.45,88.36000000000004,172.0,2.0,1318.1347708936933,53.2,13.35201253075866,0.0
218,Z,M,36.85,27.55,86.49000000000001,169.0,2.0,1449.0,42.4,11.697943640517897,0.0
219,K,M,36.75,27.45,86.49000000000001,166.0,2.0,1549.0246010635014,38.9,11.47316393400042,0.0
220,S,L,36.75,27.45,86.49000000000001,164.0,2.0,1445.0,43.9,12.078351104341204,0.0
221,K,L,36.65,27.45,84.63999999999999,157.0,2.0,1395.0,61.0,16.202399086062453,0.0
222,K,L,36.65,27.45,84.63999999999999,155.0,2.0,1616.0,34.5,10.615384615384615,0.0
223,Z,L,36.65,27.35,86.48999999999995,177.0,2.0,1488.0,35.7,10.114546839299315,0.0
224,K,M,37.05,28.15,79.20999999999998,34.0,0.0,1558.0,32.6,9.670753998476771,0.0
225,S,L,36.15,27.05,82.80999999999996,73.0,1.0,1427.0,37.6,10.216146230007617,0.0
226,S,L,36.05,27.05,80.99999999999994,77.0,1.0,1400.0,46.7,12.44859101294745,0.0
227,T,L,36.15,26.95,84.63999999999999,5.0,0.0,1759.0,27.9,9.344268849961919,0.0
228,T,L,36.15,26.85,86.48999999999995,214.0,2.0,1491.0,44.3,12.576408987052552,0.0
229,T,L,36.15,26.75,88.35999999999997,212.0,2.0,1504.0,38.7,11.082406702208683,0.0
230,K,M,36.05,26.75,86.48999999999995,209.0,2.0,1456.0,39.4,10.922772277227724,0.0
231,Z,L,36.05,26.75,86.48999999999995,207.0,2.0,1485.0,39.9,11.281702208682407,0.0
232,S,L,36.05,26.75,86.48999999999995,205.0,2.0,1612.0,35.4,10.865346534653465,0.0
233,T,M,36.15,26.75,88.35999999999997,202.0,2.0,1678.0,29.8,9.52102056359482,0.0
234,T,L,36.05,26.75,86.48999999999995,200.0,2.0,1668.0,30.3,9.623076923076923,0.0
235,Z,L,36.05,26.85,84.63999999999992,198.0,2.0,1412.0,48.3,12.985453160700684,0.0
236,K,H,35.95,26.75,84.64000000000006,193.0,2.0,1467.0,37.3,10.418716679360243,0.0
237,K,L,36.05,26.75,86.48999999999995,191.0,2.0,1578.0,42.1,12.649238385377,0.0
238,S,M,36.05,26.85,84.63999999999992,188.0,2.0,1513.0,43.8,12.617936024371668,0.0
239,Z,M,36.15,26.85,86.48999999999995,185.0,2.0,1389.0,51.2,13.540898705255142,0.0
240,S,M,36.15,26.85,86.48999999999995,182.0,2.0,1353.0,49.8,12.829284082254379,0.0
241,T,M,36.05,26.75,86.48999999999995,7.0,0.0,1355.0,56.7,14.628427265803504,0.0
242,K,L,36.15,26.85,86.48999999999995,180.0,2.0,1560.0,38.9,11.554455445544555,0.0
243,Z,M,36.05,26.85,84.63999999999992,10.0,0.0,1345.0,56.8,14.546077684691546,0.0
244,Z,L,36.15,26.85,86.48999999999995,16.0,0.0,1658.0,34.8,10.985986290936784,0.0
245,K,L,36.55,27.05,90.24999999999993,55.0,1.0,1760.0,25.4,8.511805026656512,0.0
246,K,L,36.55,27.05,90.24999999999993,53.0,1.0,1642.0,34.5,10.786176694592536,0.0
247,S,M,36.45,27.05,88.36000000000004,50.0,1.0,1462.0,42.8,11.914242193450114,0.0
248,Z,L,36.45,26.95,90.25000000000007,48.0,1.0,1717.0,28.3,9.251923076923077,0.0
249,S,L,36.35,26.95,88.36000000000004,46.0,1.0,1499.0,35.7,10.189318354912414,0.0
250,Z,L,36.35,27.05,86.49000000000001,44.0,1.0,1694.0,27.4,8.837699923838537,0.0
251,S,L,36.35,27.05,86.49000000000001,42.0,0.0,1568.0,39.7,11.852551408987054,0.0
252,S,H,36.35,26.95,88.36000000000004,37.0,0.0,1498.0,38.5,10.981150038080731,0.0
253,K,L,36.25,26.95,86.49000000000001,35.0,0.0,1473.0,46.0,12.901370906321402,0.0
254,Z,L,36.35,27.05,86.49000000000001,33.0,0.0,2141.0,17.9,7.297010662604721,0.0
255,T,H,36.35,27.05,86.49000000000001,28.0,0.0,1563.0,40.8,12.14211728865194,0.0
256,T,L,36.35,27.05,86.49000000000001,26.0,0.0,1858.0,23.6,8.34897182025895,0.0
257,Z,M,36.45,27.15,86.49000000000008,23.0,0.0,1458.0,46.9,13.01984006092917,0.0
258,S,M,36.25,27.05,84.63999999999999,20.0,0.0,1469.0,43.9,12.278960396039604,0.0
259,K,L,36.15,26.95,84.63999999999999,18.0,0.0,1566.0,34.4,10.257121096725056,0.0
260,S,M,36.15,26.85,86.48999999999995,13.0,0.0,1683.0,30.5,9.773705255140898,0.0
261,Z,M,36.15,26.85,86.48999999999995,177.0,2.0,1574.0,36.5,10.93888042650419,0.0
262,T,L,36.25,26.95,86.49000000000001,175.0,2.0,1972.0,22.0,8.26047220106626,0.0
263,S,L,36.25,26.95,86.49000000000001,173.0,2.0,1397.0,51.2,13.61888804265042,0.0
264,T,L,35.95,27.05,79.21000000000004,114.0,1.0,1314.0,58.2,14.56108149276466,0.0
265,Z,L,35.95,26.95,81.00000000000007,112.0,1.0,2174.0,16.9,6.995544554455445,0.0
266,Z,L,36.05,26.95,82.80999999999996,110.0,1.0,1631.0,28.3,8.788518659558264,0.0
267,S,L,36.05,26.95,82.80999999999996,108.0,1.0,1791.0,28.2,9.616565118050266,0.0
